prodID_TPCW;custID_TPCW;invoice_TPCW;amt;discounted;qty;salesDate
81;28;1;151;0;102;2008-12-
7;28;2;294;0;38;2009-12-
79;10;3;139;0;189;2007-05-
18;10;4;189;0;192;2006-05-
39;10;4;203;0;21;2006-05-
61;10;4;380;0;95;2006-05-
56;6;5;138;0;187;2005-06-
68;31;6;389;0;137;2009-03-
42;6;7;259;0;112;2006-06-
11;31;8;122;0;57;2006-03-
101;31;8;209;0;102;2006-03-
3;17;9;241;0;121;2010-06-
91;17;9;317;0;127;2010-06-
2;28;10;102;0;63;2005-12-
96;28;10;291;0;188;2005-12-
91;28;10;139;0;41;2005-12-
16;28;10;163;0;115;2005-12-
104;23;11;142;0;157;2007-07-
74;31;12;286;0;111;2010-03-
63;40;13;256;0;65;2006-03-
47;40;14;215;0;54;2007-03-
86;40;14;333;0;113;2007-03-
90;25;15;190;0;21;2005-05-
65;25;16;372;0;182;2006-05-
101;25;17;244;0;152;2008-05-
16;25;17;288;0;167;2008-05-
1;34;18;323;0;117;2010-05-
17;34;18;311;0;42;2010-05-
36;36;19;220;1;126;2009-01-
34;36;20;212;1;21;2008-01-
65;36;20;157;0;52;2008-01-
29;19;21;337;0;17;2009-02-
46;19;21;226;0;191;2009-02-
77;19;21;127;0;10;2009-02-
40;20;22;161;1;145;2009-09-
13;20;22;318;1;71;2009-09-
56;4;23;168;0;195;2005-05-
23;4;23;219;0;187;2005-05-
87;36;24;240;0;35;2005-01-
7;25;25;317;0;17;2010-09-
54;25;25;301;0;23;2010-09-
17;25;25;139;0;200;2010-09-
90;19;26;285;0;139;2010-10-
29;19;26;194;0;173;2010-10-
52;19;26;328;0;29;2010-10-
64;36;27;190;0;157;2006-01-
105;24;28;200;0;152;2007-07-
36;36;29;331;0;196;2005-05-
104;21;30;349;0;110;2007-10-
94;21;30;319;0;35;2007-10-
46;21;31;144;1;112;2005-10-
5;20;32;384;0;14;2009-04-
72;21;33;113;0;156;2008-10-
9;21;34;392;0;177;2009-10-
18;21;34;183;0;106;2009-10-
104;20;35;367;0;176;2008-04-
35;33;36;266;0;178;2008-07-
7;24;37;180;0;179;2010-02-
4;24;37;148;0;156;2010-02-
71;12;38;172;0;154;2010-01-
29;12;38;329;0;57;2010-01-
34;12;38;136;0;69;2010-01-
59;9;39;341;0;85;2010-01-
66;8;40;323;0;49;2010-07-
69;8;40;267;0;81;2010-07-
35;18;41;222;1;191;2005-11-
97;18;41;225;1;63;2005-11-
18;8;42;112;0;200;2006-12-
18;18;43;319;0;165;2007-11-
73;18;43;178;0;147;2007-11-
24;10;44;350;0;101;2008-05-
69;10;44;213;0;94;2008-05-
93;11;45;344;0;61;2005-08-
58;11;45;320;0;23;2005-08-
63;26;46;158;0;133;2007-12-
70;26;46;327;0;98;2007-12-
10;26;46;116;0;60;2007-12-
19;37;47;284;0;165;2009-08-
49;37;47;239;0;125;2009-08-
13;37;47;326;0;14;2009-08-
71;37;47;124;0;171;2009-08-
43;23;48;377;0;14;2008-05-
40;23;48;282;0;151;2008-05-
91;21;49;210;0;40;2005-08-
12;21;49;332;0;12;2005-08-
72;21;50;271;0;31;2007-08-
8;21;51;244;0;190;2006-08-
80;21;51;147;0;151;2006-08-
64;34;52;199;0;135;2010-06-
105;21;53;248;0;187;2008-08-
12;28;54;329;0;10;2007-12-
102;23;55;172;0;20;2007-05-
17;11;56;323;0;182;2008-08-
5;37;57;263;0;136;2005-08-
24;37;57;370;0;75;2005-08-
96;37;57;295;0;120;2005-08-
41;3;58;394;0;117;2007-08-
105;12;59;364;0;121;2007-04-
44;34;60;132;0;38;2010-07-
45;10;61;211;0;172;2010-08-
15;10;61;226;0;64;2010-08-
93;10;61;223;0;111;2010-08-
51;10;61;397;0;141;2010-08-
66;25;62;319;0;189;2007-06-
81;25;63;243;0;131;2006-06-
49;34;64;342;0;133;2010-05-
63;34;64;199;0;169;2010-05-
43;34;64;230;0;155;2010-05-
38;34;64;333;0;183;2010-05-
7;5;65;259;0;53;2010-09-
30;33;66;383;0;167;2006-07-
63;15;67;190;0;79;2006-04-
38;15;67;202;0;125;2006-04-
86;15;68;168;0;75;2007-04-
67;15;68;373;0;159;2007-04-
45;15;69;142;0;56;2008-04-
53;15;70;328;0;104;2009-04-
100;27;71;352;0;118;2006-07-
16;27;71;174;0;100;2006-07-
21;33;72;163;0;96;2007-07-
49;27;73;354;0;145;2006-12-
79;38;74;378;0;138;2009-07-
68;21;75;140;0;52;2005-07-
62;38;76;307;0;57;2007-07-
69;38;76;358;0;54;2007-07-
21;38;77;245;0;132;2006-07-
27;10;78;116;0;147;2010-07-
88;25;79;258;0;36;2005-09-
31;25;80;275;0;105;2006-09-
91;25;81;152;0;119;2007-09-
69;25;82;252;0;141;2009-09-
30;7;83;301;0;40;2005-05-
20;20;84;219;0;196;2008-05-
12;33;85;379;0;145;2010-05-
17;33;85;317;0;81;2010-05-
103;29;86;168;0;25;2005-05-
15;1;87;151;0;48;2006-04-
22;36;88;215;0;140;2006-11-
58;36;88;145;0;133;2006-11-
99;36;89;337;0;172;2005-11-
82;36;89;179;0;147;2005-11-
100;8;90;109;0;181;2008-03-
98;8;91;156;0;152;2009-03-
33;40;92;297;0;67;2006-05-
39;40;92;359;0;69;2006-05-
59;40;92;311;0;47;2006-05-
33;40;93;296;0;105;2007-05-
17;40;93;173;0;148;2007-05-
26;40;93;123;1;191;2007-05-
62;40;94;171;1;107;2008-05-
20;40;94;395;1;186;2008-05-
96;40;95;344;1;50;2009-05-
95;40;95;296;1;179;2009-05-
8;8;96;371;0;108;2006-03-
52;8;97;393;0;15;2007-03-
78;8;97;192;0;99;2007-03-
19;38;98;260;0;192;2006-12-
28;38;98;384;0;192;2006-12-
37;38;98;346;0;68;2006-12-
93;13;99;310;0;181;2006-09-
2;38;100;167;0;121;2005-12-
8;34;101;347;0;193;2009-04-
35;34;101;102;0;113;2009-04-
84;10;102;193;0;65;2005-04-
23;10;102;385;0;29;2005-04-
74;10;103;139;0;78;2006-04-
3;10;104;299;0;73;2008-04-
51;10;104;332;0;31;2008-04-
43;24;105;266;0;37;2008-02-
93;12;106;319;0;32;2010-07-
14;35;107;261;0;83;2010-04-
34;35;107;383;0;104;2010-04-
80;36;108;261;0;64;2007-01-
50;38;109;289;0;134;2007-04-
10;30;110;298;0;163;2006-08-
84;30;111;197;0;95;2007-08-
90;30;111;266;0;139;2007-08-
51;15;112;390;0;61;2006-01-
102;15;112;327;0;152;2006-01-
7;15;112;111;0;94;2006-01-
12;18;113;371;0;32;2008-02-
55;18;113;253;0;140;2008-02-
21;11;114;353;0;56;2009-05-
2;11;114;246;0;163;2009-05-
69;11;114;279;0;177;2009-05-
36;11;115;309;0;24;2008-05-
48;11;115;133;0;135;2008-05-
56;11;116;148;0;98;2006-05-
8;30;117;344;0;49;2006-12-
29;30;117;294;0;41;2006-12-
96;15;118;390;0;117;2009-01-
42;15;119;148;0;24;2008-01-
20;15;119;304;0;31;2008-01-
86;17;120;332;0;198;2010-06-
47;23;121;356;0;109;2007-01-
81;23;121;400;0;188;2007-01-
102;23;121;129;0;65;2007-01-
8;23;122;253;0;58;2005-01-
32;12;123;192;0;176;2005-10-
45;12;123;112;0;14;2005-10-
7;12;124;242;0;46;2006-10-
65;12;124;178;0;33;2006-10-
56;12;125;278;0;119;2009-10-
28;12;125;148;0;147;2009-10-
84;12;125;158;0;136;2009-10-
20;12;125;228;0;64;2009-10-
42;12;126;210;0;200;2008-10-
55;23;127;138;0;97;2009-01-
95;22;128;397;0;101;2010-03-
102;29;129;149;0;95;2009-09-
99;16;130;369;0;46;2008-03-
102;25;131;183;0;71;2006-11-
75;10;132;381;0;93;2008-10-
39;10;132;173;0;118;2008-10-
80;10;133;371;0;161;2009-10-
57;10;133;303;0;47;2009-10-
54;10;133;221;0;137;2009-10-
4;10;134;270;0;135;2007-10-
102;10;134;149;0;145;2007-10-
85;25;135;350;0;107;2008-11-
60;16;136;137;0;124;2005-03-
77;29;137;215;0;119;2007-09-
32;29;137;163;0;97;2007-09-
17;16;138;237;0;36;2006-03-
82;16;138;395;0;129;2006-03-
93;16;138;340;0;108;2006-03-
38;16;138;311;0;173;2006-03-
100;28;139;343;0;46;2010-05-
59;34;140;348;0;22;2007-01-
50;14;141;109;0;165;2007-08-
35;34;142;392;0;115;2006-01-
